element,unit,amount
liberty:COMMERCIAL_CURRENTASSETS_CASH,iso4217:USD,139000000
liberty:COMMERCIAL_CURRENTASSETS_ACCOUNTSRECEIVABLE,iso4217:USD,407000000
liberty:COMMERCIAL_CURRENTASSETS_INVENTORY,iso4217:USD,416000000
liberty:COMMERCIAL_CURRENTASSETS_PREPAIDEXPENSES,iso4217:USD,147000000
liberty:COMMERCIAL_UNCLASSIFIED_CURRENTASSETS,iso4217:USD,502000000
liberty:COMMERCIAL_ASSETS_CURRENTASSETS,iso4217:USD,1611000000
liberty:COMMERCIAL_ASSETS_FIXEDASSETS,iso4217:USD,5446000000
liberty:COMMERCIAL_FIXEDASSETS_ACCUMULATEDDEPRECIATION,iso4217:USD,3477000000
liberty:COMMERCIAL_ASSETS_FIXEDASSETS_NET,iso4217:USD,1969000000
liberty:COMMERCIAL_NONCURRENTASSETS_OTHERNON_CURRENTASSETS,iso4217:USD,414000000
liberty:TOTALNONCURRENTASSETS,iso4217:USD,12412000000
liberty:ASSETS,iso4217:USD,14795000000
